ID_Original,Categoria_Original,Texto_Manifestacao,Rotulo Correto (Sim/Não),"Realismo 1 a 5 
(1-Muito Artificial 2- Artificial 3- Regular 4- Natural 5- Muito Natural)","Tem Vazamento (Sim/Não)
 Ex. Elogio, Denúncia ",Complexidade (Sim/Não),Obs
200,Elogio,Parabenizo a reforma na escola do meu filho em Petrolina. A modernização das salas de aula e a renovação da quadra esportiva criaram um ambiente muito melhor para o aprendizado,Sim,5,Não,Não,
592,Crítica,"Gostaria de registrar uma reclamação sobre a merenda nas escolas de Garanhuns. A alimentação está repetitiva e com qualidade inferior, o que não atende às necessidades nutricionais dos alunos",Sim,5,Não,Não,
47,Elogio,"Elogio o serviço ágil e de alta qualidade da equipe de iluminação pública de Olinda. O conserto das luzes da minha rua foi feito com rapidez, o que demonstrou a eficiência do trabalho",Sim,5,Sim,Não,
603,Crítica,"Não concordo com a condição das ciclovias em Recife. Elas estão malcuidadas, com asfalto irregular, e não formam uma rede coesa. A interrupção abrupta das rotas força os ciclistas a se arriscarem nas ruas com carros",Sim,5,Não,Sim,
165,Elogio,"O projeto de cursos profissionalizantes gratuitos em Jaboatão dos Guararapes é excelente. Graças a ele, pude me capacitar e me sentir mais preparado para conseguir um emprego",Sim,5,Não,Não,
564,Denúncia,Estou alertando sobre um desmatamento clandestino em Igarassu. Estão acabando com um pedaço da mata atlântica na zona rural para construir casas. As máquinas estão trabalhando no local sem nenhuma autorização visível do órgão ambiental.,Sim,5,Não,Não,
171,Pedido de Acesso à Informação (LAI),"Com base na Lei de Acesso à Informação, solicito o EIA/RIMA completo do novo condomínio que está em obras no Janga, município de Paulista.",Sim,4,Não,Não,
362,Solicitação,"Solicito a remoção dos carros abandonados na Rua Epitácio Pessoa, no centro. Eles estão juntando água da chuva, o que pode causar dengue, e virando esconderijo para bandidos.",Sim,5,Sim,Não,
39,Sugestão,"Proponho que Garanhuns invista na instalação de iluminação de LED em suas principais vias. Além de ser mais econômica, a tecnologia LED proporciona maior segurança para quem transita à noite",Sim,5,Não,Sim,
168,Elogio,Fico muito feliz com a iniciativa de cursos profissionalizantes gratuitos em Jaboatão dos Guararapes. Isso oferece à população a oportunidade de se capacitar e melhorar de vida. Um excelente trabalho,Sim,5,Não,Sim,
303,Pedido de Acesso à Informação (LAI),"Nos termos da Lei de Acesso à Informação, requeiro o demonstrativo completo de despesas do evento ""Verão 2025"" em Porto de Galinhas, discriminando os valores pagos a título de cachê artístico e os custos com a infraestrutura.",Sim,4,Não,Não,
122,Sugestão,O número de animais abandonados em Caruaru está crescendo. Sugiro que a prefeitura crie mais abrigos para animais de rua e amplie o programa de castração gratuita para controlar a população,Sim,5,Não,Não,
176,Sugestão,Acredito que Garanhuns deveria ter mais áreas de lazer com brinquedos adaptados para crianças com deficiência. A inclusão social é fundamental e todos os espaços públicos devem ser acessíveis,Sim,5,Não,Sim,
371,Denúncia,"Na Avenida Agamenon Magalhães, esquina com a Rua do Paissandu, um grande buraco na pista tem causado acidentes. Apesar dos repetidos contatos e solicitações, o problema continua sem solução por parte dos responsáveis.",Sim,5,Não,Sim,
504,Denúncia,"A comunidade do Bode está sofrendo com esgoto a céu aberto, o que está causando muitas doenças. A prefeitura prometeu uma obra de saneamento no ano passado, mas o projeto nunca saiu do papel.",Sim,5,Não,Sim,
377,Pedido de Acesso à Informação (LAI),"Para fins de controle social, peço a listagem com os nomes de todos que recebem o ""Aluguel Social"" em Arcoverde e os respectivos valores mensais do benefício.",Sim,5,Não,Sim,
324,Solicitação,Gostaria de solicitar o conserto do balanço e do escorregador do parquinho do Alto da Sé. Ambos estão danificados e representam um perigo para as crianças que brincam no local.,Sim,4,Sim,Não,
618,Crítica,"Gostaria de reclamar do transporte público para a zona rural de Igarassu. Os ônibus são antigos, os horários não são cumpridos e a espera nas paradas é excessiva. Isso afeta o acesso de estudantes e trabalhadores",Sim,4,Não,Sim,
53,Pedido de Acesso à Informação (LAI),"Amparado pela Lei de Acesso à Informação, solicito o inteiro teor do procedimento licitatório, bem como do contrato resultante, referente à pavimentação da Avenida da Integração em Petrolina.",Sim,4,Sim,Sim,
306,Pedido de Acesso à Informação (LAI),"Com base na LAI, solicito o detalhamento dos cachês de todos os artistas e dos custos de estrutura do evento ""Verão 2025"" em Porto de Galinhas, como parte da prestação de contas total do evento.",Sim,4,Sim,Sim,
